CIDR,IP_Version,ASN,ISP_Name,Country_Code,Country_Name,Start_IP,End_IP,IP_Count
5.153.148.0/22,4,3261,"DIPT-AS LLC ""FTICOM""",UA,Украина,5.153.148.0,5.153.151.255,1024
5.153.152.0/21,4,3261,"DIPT-AS LLC ""FTICOM""",UA,Украина,5.153.152.0,5.153.159.255,2048
5.153.160.0/22,4,3261,"DIPT-AS LLC ""FTICOM""",UA,Украина,5.153.160.0,5.153.163.255,1024
5.153.168.0/23,4,3261,"DIPT-AS LLC ""FTICOM""",UA,Украина,5.153.168.0,5.153.169.255,512
5.153.177.0/24,4,56818,NCUBE-AS Chernyshov Volodymyr,UA,Украина,5.153.177.0,5.153.177.255,256
5.153.188.0/22,4,196977,HANGENKOVO-NET-AS Private Entrepreneur Bubley Igor Yurievich,UA,Украина,5.153.188.0,5.153.191.255,1024
5.172.179.0/24,4,48031,XServerCloud Ivanov Vitaliy Sergeevich,UA,Украина,5.172.179.0,5.172.179.255,256
5.180.100.0/24,4,41813,ONLINETELECOM-AS LLC ONLINETELECOM,UA,Украина,5.180.100.0,5.180.100.255,256
5.180.128.0/22,4,43633,UA-GIGABIT Gigabit-Online LLC,UA,Украина,5.180.128.0,5.180.131.255,1024
5.181.54.0/24,4,49223,EVEREST-AS EVEREST TV AND RADIO COMPANY LLC,UA,Украина,5.181.54.0,5.181.54.255,256
5.181.248.0/22,4,209116,"WEBPRO-AS LLC ""WEB PRO""",UA,Украина,5.181.248.0,5.181.251.255,1024
5.182.96.0/22,4,209106,SISTEC-19-AS SISTEC LLC,UA,Украина,5.182.96.0,5.182.99.255,1024
5.183.200.0/22,4,12998,BGNET-AS BGNet LLC,UA,Украина,5.183.200.0,5.183.203.255,1024
5.189.252.0/24,4,39558,IPResurs-AS IP Resurs Ltd.,UA,Украина,5.189.252.0,5.189.252.255,256
5.199.232.0/21,4,49984,"TELCOM-UA-AS ""Telecomunikatsiina Companiya"" Ltd",UA,Украина,5.199.232.0,5.199.239.255,2048
5.248.0.0/16,4,15895,"KSNET-AS ""Kyivstar"" PJSC",UA,Украина,5.248.0.0,5.248.255.255,65536
5.252.119.0/24,4,198920,MSRV-AS Yevhen Hreshnykov,UA,Украина,5.252.119.0,5.252.119.255,256
5.252.154.0/24,4,30860,YURTEH-AS Virtual Systems LLC,UA,Украина,5.252.154.0,5.252.154.255,256
5.252.180.0/22,4,15377,FREGAT TRADITIONAL LLC,UA,Украина,5.252.180.0,5.252.183.255,1024
5.255.32.0/20,4,31272,"WILDPARK-AS ISP WildPark, Ukraine, Nikolaev",UA,Украина,5.255.32.0,5.255.47.255,4096
5.255.160.0/20,4,34700,"CITYNET-AS MAXNET TELECOM, LTD",UA,Украина,5.255.160.0,5.255.175.255,4096
5.255.176.0/20,4,21310,ASN-SATELLITE Satellite Ltd,UA,Украина,5.255.176.0,5.255.191.255,4096
13.143.139.0/24,4,207513,"HOSTOFF LLC ""HOSTOFF CSL""",UA,Украина,13.143.139.0,13.143.139.255,256
13.143.143.0/24,4,207513,"HOSTOFF LLC ""HOSTOFF CSL""",UA,Украина,13.143.143.0,13.143.143.255,256
23.27.138.0/24,4,30860,YURTEH-AS Virtual Systems LLC,UA,Украина,23.27.138.0,23.27.138.255,256
23.27.184.0/24,4,30860,YURTEH-AS Virtual Systems LLC,UA,Украина,23.27.184.0,23.27.184.255,256
23.139.136.0/24,4,213159,AVALONDC FOP Klimanov Eugene Alexandrovich,UA,Украина,23.139.136.0,23.139.136.255,256
31.3.192.0/20,4,197743,"KRAEVID PRIVATE JOINT STOCK COMPANY ""DATAGROUP""",UA,Украина,31.3.192.0,31.3.207.255,4096
31.6.53.0/24,4,202656,XServerCloud Ivanov Vitaliy Sergeevich,UA,Украина,31.6.53.0,31.6.53.255,256
31.12.128.0/17,4,21497,"UMC-AS PrJSC ""VF UKRAINE""",UA,Украина,31.12.128.0,31.12.255.255,32768
31.13.247.0/24,4,202656,XServerCloud Ivanov Vitaliy Sergeevich,UA,Украина,31.13.247.0,31.13.247.255,256
31.24.208.0/21,4,12837,ONECLAUDLAB-NET 1 Claud Lab network,UA,Украина,31.24.208.0,31.24.215.255,2048
31.31.96.0/19,4,6876,TENET-AS TENET Scientific Production Enterprise LLC,UA,Украина,31.31.96.0,31.31.127.255,8192
31.40.16.0/21,4,197131,ASCATNET Ketnet Telecom Ltd,UA,Украина,31.40.16.0,31.40.23.255,2048
31.40.104.0/21,4,35352,"UKRTELEBUD LLC ""Ukrtele-Service""",UA,Украина,31.40.104.0,31.40.111.255,2048
31.41.48.0/21,4,56652,BRDNET-AS FOP Petrenko Pavlo Mukolayovuch,UA,Украина,31.41.48.0,31.41.55.255,2048
31.41.64.0/21,4,50648,UAINET-AS PE UAinet,UA,Украина,31.41.64.0,31.41.71.255,2048
31.41.72.0/21,4,41084,SMILA DIAVA ISP LLC,UA,Украина,31.41.72.0,31.41.79.255,2048
31.41.88.0/21,4,41820,NOVI-AS New Information Systems PP,UA,Украина,31.41.88.0,31.41.95.255,2048
31.41.112.0/21,4,35365,VICATV TOV Vica-TV,UA,Украина,31.41.112.0,31.41.119.255,2048
31.41.216.0/21,4,42655,BESTHOSTING-AS ON-LINE Ltd,UA,Украина,31.41.216.0,31.41.223.255,2048
31.41.251.0/24,4,202656,XServerCloud Ivanov Vitaliy Sergeevich,UA,Украина,31.41.251.0,31.41.251.255,256
31.41.252.0/24,4,202656,XServerCloud Ivanov Vitaliy Sergeevich,UA,Украина,31.41.252.0,31.41.252.255,256
31.41.254.0/24,4,202656,XServerCloud Ivanov Vitaliy Sergeevich,UA,Украина,31.41.254.0,31.41.254.255,256
31.42.48.0/21,4,20714,"Merlin-Telecom ""Merlin-Telekom"" LLC",UA,Украина,31.42.48.0,31.42.55.255,2048
31.42.56.0/24,4,20714,"Merlin-Telecom ""Merlin-Telekom"" LLC",UA,Украина,31.42.56.0,31.42.56.255,256
31.42.57.0/24,4,205318,Avator-AS-2 Limited Liability Company AVATOR ISP,UA,Украина,31.42.57.0,31.42.57.255,256
31.42.58.0/23,4,203008,"Unicast Unicast, Ltd.",UA,Украина,31.42.58.0,31.42.59.255,512
31.42.64.0/20,4,29688,VOSTOKLTD Vostok Ltd. Yuzhnoukrainsk,UA,Украина,31.42.64.0,31.42.79.255,4096
31.42.160.0/21,4,49461,"PODOL-INTELECT-SYSTEM-AS PP ""Podilsky Intelectualni sistemy""",UA,Украина,31.42.160.0,31.42.167.255,2048
31.42.168.0/22,4,49461,"PODOL-INTELECT-SYSTEM-AS PP ""Podilsky Intelectualni sistemy""",UA,Украина,31.42.168.0,31.42.171.255,1024
31.42.172.0/23,4,49461,"PODOL-INTELECT-SYSTEM-AS PP ""Podilsky Intelectualni sistemy""",UA,Украина,31.42.172.0,31.42.173.255,512
31.42.174.0/23,4,49461,"PODOL-INTELECT-SYSTEM-AS PP ""Podilsky Intelectualni sistemy""",UA,Украина,31.42.174.0,31.42.175.255,512
31.42.178.0/23,4,212604,WINET-AS WiNet LLc,UA,Украина,31.42.178.0,31.42.179.255,512
31.42.181.0/24,4,44866,KNOPKA-AS FOP Fedasiuk Oksana Petrivna,UA,Украина,31.42.181.0,31.42.181.255,256
31.42.182.0/24,4,205228,ENAMINE ENAMINE LTD,UA,Украина,31.42.182.0,31.42.182.255,256
31.42.184.0/22,4,30860,YURTEH-AS Virtual Systems LLC,UA,Украина,31.42.184.0,31.42.187.255,1024
31.42.190.0/24,4,202302,NETH-AS NETH LLC,UA,Украина,31.42.190.0,31.42.190.255,256
31.43.0.0/19,4,50004,DKS-AS FO-P Gromov Evgeniy Viktorovich,UA,Украина,31.43.0.0,31.43.31.255,8192
31.43.33.0/24,4,50581,UTG Ukrainian Telecommunication Group LLC,UA,Украина,31.43.33.0,31.43.33.255,256
31.43.34.0/23,4,50581,UTG Ukrainian Telecommunication Group LLC,UA,Украина,31.43.34.0,31.43.35.255,512
31.43.36.0/22,4,50581,UTG Ukrainian Telecommunication Group LLC,UA,Украина,31.43.36.0,31.43.39.255,1024
31.43.40.0/21,4,50581,UTG Ukrainian Telecommunication Group LLC,UA,Украина,31.43.40.0,31.43.47.255,2048
31.43.48.0/20,4,50581,UTG Ukrainian Telecommunication Group LLC,UA,Украина,31.43.48.0,31.43.63.255,4096
31.43.64.0/19,4,30886,KOMITEX-AS PP KOM i TEX,UA,Украина,31.43.64.0,31.43.95.255,8192
31.43.96.0/19,4,56433,ASLANUA-NETWORK LocalNet Ltd.,UA,Украина,31.43.96.0,31.43.127.255,8192
31.43.128.0/19,4,48438,CORBINA-AS Corbina Telecom Llc.,UA,Украина,31.43.128.0,31.43.159.255,8192
31.43.168.0/22,4,42512,X-COM-AS X-COM LLC,UA,Украина,31.43.168.0,31.43.171.255,1024
31.43.178.0/24,4,211395,IdeaBank-AS JSC ''IDEA BANK'',UA,Украина,31.43.178.0,31.43.178.255,256
31.43.180.0/22,4,42512,X-COM-AS X-COM LLC,UA,Украина,31.43.180.0,31.43.183.255,1024
31.43.224.0/19,4,43764,"SEVLUSH-AS LLC ""Electron-sevlush""",UA,Украина,31.43.224.0,31.43.255.255,8192
31.57.103.0/24,4,213724,FnA Maximum-Net LLC,UA,Украина,31.57.103.0,31.57.103.255,256
31.57.111.0/24,4,213724,FnA Maximum-Net LLC,UA,Украина,31.57.111.0,31.57.111.255,256
31.57.230.0/24,4,213724,FnA Maximum-Net LLC,UA,Украина,31.57.230.0,31.57.230.255,256
31.58.40.0/24,4,213724,FnA Maximum-Net LLC,UA,Украина,31.58.40.0,31.58.40.255,256
31.58.229.0/24,4,202656,XServerCloud Ivanov Vitaliy Sergeevich,UA,Украина,31.58.229.0,31.58.229.255,256
31.59.35.0/24,4,202656,XServerCloud Ivanov Vitaliy Sergeevich,UA,Украина,31.59.35.0,31.59.35.255,256
31.59.128.0/24,4,6698,virtualsystems Virtual Systems LLC,UA,Украина,31.59.128.0,31.59.128.255,256
31.128.64.0/24,4,42041,INGOUA-AS CJSC Joint Stock Insurance Company INGO Ukraine,UA,Украина,31.128.64.0,31.128.64.255,256
31.128.65.0/24,4,15785,"AS3326-INFRA PRIVATE JOINT STOCK COMPANY ""DATAGROUP""",UA,Украина,31.128.65.0,31.128.65.255,256
31.128.66.0/24,4,212821,Comfy Comfy Trade LLC,UA,Украина,31.128.66.0,31.128.66.255,256
31.128.67.0/24,4,211455,V42428 Viyskova Chastyna 2428,UA,Украина,31.128.67.0,31.128.67.255,256
31.128.68.0/22,4,3326,"Datagroup PRIVATE JOINT STOCK COMPANY ""DATAGROUP""",UA,Украина,31.128.68.0,31.128.71.255,1024
31.128.72.0/22,4,3326,"Datagroup PRIVATE JOINT STOCK COMPANY ""DATAGROUP""",UA,Украина,31.128.72.0,31.128.75.255,1024
31.128.76.0/22,4,31520,"Datagroup-Retail PRIVATE JOINT STOCK COMPANY ""DATAGROUP""",UA,Украина,31.128.76.0,31.128.79.255,1024
31.128.80.0/20,4,31520,"Datagroup-Retail PRIVATE JOINT STOCK COMPANY ""DATAGROUP""",UA,Украина,31.128.80.0,31.128.95.255,4096
31.128.96.0/20,4,49162,NetEasy-AS NetEasy LLC,UA,Украина,31.128.96.0,31.128.111.255,4096
31.128.112.0/20,4,211130,"VNV-SOULUTION-AS VNV Solutions, LLC",UA,Украина,31.128.112.0,31.128.127.255,4096
31.128.160.0/21,4,48919,UA-CITY-AS UACITY Ltd.,UA,Украина,31.128.160.0,31.128.167.255,2048
31.128.168.0/24,4,35614,therecomltd Therecom Ltd,UA,Украина,31.128.168.0,31.128.168.255,256
31.128.170.0/23,4,35614,therecomltd Therecom Ltd,UA,Украина,31.128.170.0,31.128.171.255,512
31.128.172.0/24,4,56465,therecomltd Therecom Ltd,UA,Украина,31.128.172.0,31.128.172.255,256
31.128.173.0/24,4,215950,"HOKS Municipal Enterprise of Kharkiv Regional Council ""Kharkiv Oblast Communication Systems""",UA,Украина,31.128.173.0,31.128.173.255,256
31.128.174.0/23,4,56465,therecomltd Therecom Ltd,UA,Украина,31.128.174.0,31.128.175.255,512
31.128.176.0/22,4,44019,ALTANET-AS SPETSNET LLC,UA,Украина,31.128.176.0,31.128.179.255,1024
31.128.180.0/23,4,41360,NEOCOM-UA NEOCOM Ltd.,UA,Украина,31.128.180.0,31.128.181.255,512
31.128.182.0/24,4,56465,therecomltd Therecom Ltd,UA,Украина,31.128.182.0,31.128.182.255,256
31.128.183.0/24,4,60334,KhNU-AS V.N.Karazin Kharkiv National University,UA,Украина,31.128.183.0,31.128.183.255,256
31.128.184.0/21,4,50648,UAINET-AS PE UAinet,UA,Украина,31.128.184.0,31.128.191.255,2048
31.128.224.0/20,4,20714,"Merlin-Telecom ""Merlin-Telekom"" LLC",UA,Украина,31.128.224.0,31.128.239.255,4096
31.128.240.0/23,4,20714,"Merlin-Telecom ""Merlin-Telekom"" LLC",UA,Украина,31.128.240.0,31.128.241.255,512
31.128.244.0/23,4,208139,AVATOR FOP Avator Myhaylo Mykolayovych,UA,Украина,31.128.244.0,31.128.245.255,512
31.128.246.0/23,4,203008,"Unicast Unicast, Ltd.",UA,Украина,31.128.246.0,31.128.247.255,512
31.128.248.0/22,4,208139,AVATOR FOP Avator Myhaylo Mykolayovych,UA,Украина,31.128.248.0,31.128.251.255,1024
31.128.252.0/24,4,203016,OPTICON-AS Ruban Oleh,UA,Украина,31.128.252.0,31.128.252.255,256
31.128.253.0/24,4,42719,ITNET-AS FOP Churilova Marta Mykhaylivna,UA,Украина,31.128.253.0,31.128.253.255,256
31.128.254.0/24,4,42719,ITNET-AS FOP Churilova Marta Mykhaylivna,UA,Украина,31.128.254.0,31.128.254.255,256
31.128.255.0/24,4,20714,"Merlin-Telecom ""Merlin-Telekom"" LLC",UA,Украина,31.128.255.0,31.128.255.255,256
31.129.64.0/19,4,51069,ASDNEPRONET Volodymyr Shtark,UA,Украина,31.129.64.0,31.129.95.255,8192
31.129.160.0/20,4,24872,MAGNUS-AS MAGNUS NG LLC,UA,Украина,31.129.160.0,31.129.175.255,4096
31.129.176.0/22,4,24872,MAGNUS-AS MAGNUS NG LLC,UA,Украина,31.129.176.0,31.129.179.255,1024
31.129.180.0/23,4,24872,MAGNUS-AS MAGNUS NG LLC,UA,Украина,31.129.180.0,31.129.181.255,512
31.129.182.0/24,4,24872,MAGNUS-AS MAGNUS NG LLC,UA,Украина,31.129.182.0,31.129.182.255,256
31.129.183.0/24,4,24872,MAGNUS-AS MAGNUS NG LLC,UA,Украина,31.129.183.0,31.129.183.255,256
31.129.184.0/21,4,24872,MAGNUS-AS MAGNUS NG LLC,UA,Украина,31.129.184.0,31.129.191.255,2048
31.129.224.0/22,4,50130,SYNDICATE-AS FOP Samoilenko Igor Olegovich,UA,Украина,31.129.224.0,31.129.227.255,1024
31.129.228.0/23,4,50130,SYNDICATE-AS FOP Samoilenko Igor Olegovich,UA,Украина,31.129.228.0,31.129.229.255,512
31.129.230.0/24,4,51803,IPPLUS Info Space Plus Ltd.,UA,Украина,31.129.230.0,31.129.230.255,256
31.129.231.0/24,4,197501,SMBGROUP Michkovskiy Ruslan,UA,Украина,31.129.231.0,31.129.231.255,256
31.129.232.0/22,4,50012,BESTLINK-AS Best-Link network,UA,Украина,31.129.232.0,31.129.235.255,1024
31.129.236.0/22,4,56716,XATNET IE Didyk Dmitriy Sergeyevich,UA,Украина,31.129.236.0,31.129.239.255,1024
31.129.240.0/22,4,56716,XATNET IE Didyk Dmitriy Sergeyevich,UA,Украина,31.129.240.0,31.129.243.255,1024
31.129.244.0/23,4,207422,MELNYCHENKO-AS Melnychenko Oleksandr Viktorovych,UA,Украина,31.129.244.0,31.129.245.255,512
31.129.246.0/24,4,207422,MELNYCHENKO-AS Melnychenko Oleksandr Viktorovych,UA,Украина,31.129.246.0,31.129.246.255,256
31.129.247.0/24,4,197501,SMBGROUP Michkovskiy Ruslan,UA,Украина,31.129.247.0,31.129.247.255,256
31.129.248.0/23,4,50130,SYNDICATE-AS FOP Samoilenko Igor Olegovich,UA,Украина,31.129.248.0,31.129.249.255,512
31.129.250.0/24,4,50130,SYNDICATE-AS FOP Samoilenko Igor Olegovich,UA,Украина,31.129.250.0,31.129.250.255,256
31.129.251.0/24,4,50012,BESTLINK-AS Best-Link network,UA,Украина,31.129.251.0,31.129.251.255,256
31.129.252.0/22,4,50130,SYNDICATE-AS FOP Samoilenko Igor Olegovich,UA,Украина,31.129.252.0,31.129.255.255,1024
31.131.16.0/20,4,56851,VPS-UA-AS PE Skurykhin Mukola Volodumurovuch,UA,Украина,31.131.16.0,31.131.31.255,4096
31.131.32.0/21,4,12700,"SC-VEKTOR-AS Komertsiyno Virobnitcha Firma ""VEKTOR"" LLC",UA,Украина,31.131.32.0,31.131.39.255,2048
31.131.96.0/19,4,41871,"RTL-AS LLC ""Radiotechichna Laboratoriya""",UA,Украина,31.131.96.0,31.131.127.255,8192
31.131.128.0/21,4,48595,NEWLINE-AS IE Parhomenko Aleksey Aleksandrovich,UA,Украина,31.131.128.0,31.131.135.255,2048
31.131.136.0/23,4,48595,NEWLINE-AS IE Parhomenko Aleksey Aleksandrovich,UA,Украина,31.131.136.0,31.131.137.255,512
31.131.138.0/24,4,48595,NEWLINE-AS IE Parhomenko Aleksey Aleksandrovich,UA,Украина,31.131.138.0,31.131.138.255,256
31.131.139.0/24,4,52213,ISP-EXSTREAM-AS LLC DONETSK FIBER-OPTICAL NETWORK,UA,Украина,31.131.139.0,31.131.139.255,256
31.131.140.0/23,4,44710,TRK-SIRIUS-AS TRK Sirius LTD,UA,Украина,31.131.140.0,31.131.141.255,512
31.133.32.0/22,4,204108,ROS-main S.U.E. DPR Republic Operator of Networks,UA,Украина,31.133.32.0,31.133.35.255,1024
31.133.96.0/23,4,48641,SYNTEGRA-AS Syntegra Telecom LLC,UA,Украина,31.133.96.0,31.133.97.255,512
31.133.113.0/24,4,56623,GoodNet_Network COHERENT LLC,UA,Украина,31.133.113.0,31.133.113.255,256
31.133.114.0/24,4,48964,"ENTERRA-as Private Enterprise ""Enterra""",UA,Украина,31.133.114.0,31.133.114.255,256
31.133.115.0/24,4,56623,GoodNet_Network COHERENT LLC,UA,Украина,31.133.115.0,31.133.115.255,256
31.133.116.0/24,4,42489,WLINK-DP-UA-AS W-LINK LLC,UA,Украина,31.133.116.0,31.133.116.255,256
31.133.117.0/24,4,56623,GoodNet_Network COHERENT LLC,UA,Украина,31.133.117.0,31.133.117.255,256
31.133.118.0/24,4,56623,GoodNet_Network COHERENT LLC,UA,Украина,31.133.118.0,31.133.118.255,256
31.133.119.0/24,4,48964,"ENTERRA-as Private Enterprise ""Enterra""",UA,Украина,31.133.119.0,31.133.119.255,256
31.134.64.0/19,4,202103,LANET-RV Lanet Network Ltd,UA,Украина,31.134.64.0,31.134.95.255,8192
31.134.105.0/24,4,48323,NEIRONSYSTEMS-NET PP Neiron Systems,UA,Украина,31.134.105.0,31.134.105.255,256
31.134.106.0/23,4,48323,NEIRONSYSTEMS-NET PP Neiron Systems,UA,Украина,31.134.106.0,31.134.107.255,512
31.134.108.0/23,4,48323,NEIRONSYSTEMS-NET PP Neiron Systems,UA,Украина,31.134.108.0,31.134.109.255,512
31.134.112.0/21,4,49561,"HATANET-AS49561 LLC ""VECHIR TELECOM""",UA,Украина,31.134.112.0,31.134.119.255,2048
31.134.120.0/21,4,56668,SIMNET-UA-AS FOP Demchuk Sergiy Olexandrovuch,UA,Украина,31.134.120.0,31.134.127.255,2048
31.134.208.0/21,4,56823,ASCITYNET FOP Mulyavka Vyacheslav Aleksandrovich,UA,Украина,31.134.208.0,31.134.215.255,2048
